fecha,sexo,num_casos
2020-01-01,H,0
2020-01-01,M,0
2020-01-02,H,0
2020-01-02,M,0
2020-01-03,H,0
2020-01-03,M,0
2020-01-04,H,0
2020-01-04,M,0
2020-01-05,H,0
2020-01-05,M,0
2020-01-06,H,0
2020-01-06,M,0
2020-01-07,H,0
2020-01-07,M,0
2020-01-08,H,0
2020-01-08,M,0
2020-01-09,H,0
2020-01-09,M,0
2020-01-10,H,0
2020-01-10,M,0
2020-01-11,H,0
2020-01-11,M,0
2020-01-12,H,0
2020-01-12,M,0
2020-01-13,H,0
2020-01-13,M,0
2020-01-14,H,0
2020-01-14,M,0
2020-01-15,H,0
2020-01-15,M,0
2020-01-16,H,0
2020-01-16,M,0
2020-01-17,H,0
2020-01-17,M,0
2020-01-18,H,0
2020-01-18,M,1
2020-01-19,H,0
2020-01-19,M,0
2020-01-20,H,0
2020-01-20,M,0
2020-01-21,H,0
2020-01-21,M,0
2020-01-22,H,0
2020-01-22,M,0
2020-01-23,H,0
2020-01-23,M,0
2020-01-24,H,0
2020-01-24,M,0
2020-01-25,H,0
2020-01-25,M,0
2020-01-26,H,0
2020-01-26,M,0
2020-01-27,H,0
2020-01-27,M,0
2020-01-28,H,0
2020-01-28,M,0
2020-01-29,H,0
2020-01-29,M,0
2020-01-30,H,0
2020-01-30,M,0
2020-01-31,H,0
2020-01-31,M,0
2020-02-01,H,0
2020-02-01,M,0
2020-02-02,H,0
2020-02-02,M,0
2020-02-03,H,0
2020-02-03,M,0
2020-02-04,H,0
2020-02-04,M,0
2020-02-05,H,0
2020-02-05,M,0
2020-02-06,H,0
2020-02-06,M,0
2020-02-07,H,0
2020-02-07,M,0
2020-02-08,H,0
2020-02-08,M,0
2020-02-09,H,0
2020-02-09,M,0
2020-02-10,H,0
2020-02-10,M,0
2020-02-11,H,0
2020-02-11,M,0
2020-02-12,H,0
2020-02-12,M,1
2020-02-13,H,0
2020-02-13,M,0
2020-02-14,H,0
2020-02-14,M,0
2020-02-15,H,0
2020-02-15,M,0
2020-02-16,H,0
2020-02-16,M,0
2020-02-17,H,0
2020-02-17,M,0
2020-02-18,H,0
2020-02-18,M,0
2020-02-19,H,0
2020-02-19,M,0
2020-02-20,H,0
2020-02-20,M,0
2020-02-21,H,0
2020-02-21,M,0
2020-02-22,H,0
2020-02-22,M,0
2020-02-23,H,0
2020-02-23,M,0
2020-02-24,H,1
2020-02-24,M,0
